ParentLocation,Period,FactValueNumeric
Americas,2019,0.31
Americas,2019,0.32
Americas,2019,0.64
Americas,2019,1.01
Eastern Mediterranean,2019,1.98
Africa,2019,10.15
Americas,2019,10.19
Western Pacific,2019,10.3
Americas,2019,10.34
Europe,2019,10.4
Africa,2019,10.45
Africa,2019,10.54
Africa,2019,10.58
Africa,2019,10.99
Africa,2019,11.01
Europe,2019,11.01
Europe,2019,11.15
Americas,2019,11.17
Africa,2019,11.25
Western Pacific,2019,11.25
Africa,2019,11.62
Europe,2019,11.77
Eastern Mediterranean,2019,11.95
Europe,2019,11.96
Africa,2019,12.12
Europe,2019,12.17
Western Pacific,2019,12.24
Africa,2019,12.33
Europe,2019,12.37
Africa,2019,12.38
Africa,2019,12.41
Africa,2019,12.55
Africa,2019,12.71
South-East Asia,2019,12.89
South-East Asia,2019,12.91
Africa,2019,13.11
Africa,2019,13.22
Europe,2019,13.43
Africa,2019,13.51
Africa,2019,13.51
Europe,2019,13.93
Europe,2019,13.97
Africa,2019,14.38
Africa,2019,14.43
Americas,2019,14.51
Western Pacific,2019,14.6
Eastern Mediterranean,2019,14.66
Africa,2019,14.81
Africa,2019,15.23
Africa,2019,15.66
Africa,2019,15.92
Europe,2019,16.06
Europe,2019,16.22
Europe,2019,16.49
Africa,2019,17.26
Western Pacific,2019,17.37
Europe,2019,17.73
Western Pacific,2019,18.02
Europe,2019,18.05
Americas,2019,18.83
Americas,2019,2.1
Eastern Mediterranean,2019,2.11
Africa,2019,2.2
Americas,2019,2.28
Europe,2019,2.34
Western Pacific,2019,2.54
Western Pacific,2019,2.54
South-East Asia,2019,2.55
Americas,2019,2.58
Africa,2019,2.6
Eastern Mediterranean,2019,2.66
Europe,2019,2.66
Americas,2019,2.73
Eastern Mediterranean,2019,2.76
South-East Asia,2019,2.76
Americas,2019,2.86
South-East Asia,2019,2.96
Europe,2019,20.15
Africa,2019,20.22
Western Pacific,2019,20.96
Western Pacific,2019,21.16
Europe,2019,21.6
Africa,2019,22.96
Africa,2019,23.19
Africa,2019,23.49
Africa,2019,23.63
Americas,2019,25.89
Western Pacific,2019,28.99
Eastern Mediterranean,2019,3.18
Europe,2019,3.18
Americas,2019,3.37
Eastern Mediterranean,2019,3.41
Western Pacific,2019,3.57
Europe,2019,3.62
Europe,2019,3.72
Americas,2019,3.74
South-East Asia,2019,3.85
Europe,2019,3.97
Western Pacific,2019,30.56
Europe,2019,4.33
Western Pacific,2019,4.37
Eastern Mediterranean,2019,4.47
Eastern Mediterranean,2019,4.49
South-East Asia,2019,4.53
Eastern Mediterranean,2019,4.66
Americas,2019,4.66
Eastern Mediterranean,2019,4.74
Eastern Mediterranean,2019,4.76
Africa,2019,40.46
Americas,2019,40.85
South-East Asia,2019,5.07
Americas,2019,5.11
Eastern Mediterranean,2019,5.13
Europe,2019,5.15
Eastern Mediterranean,2019,5.24
Europe,2019,5.28
Americas,2019,5.29
Europe,2019,5.32
Europe,2019,5.32
Eastern Mediterranean,2019,5.43
Africa,2019,5.47
Western Pacific,2019,5.49
Western Pacific,2019,5.77
Eastern Mediterranean,2019,5.96
Western Pacific,2019,5.98
Europe,2019,6.07
Americas,2019,6.11
Americas,2019,6.16
Americas,2019,6.23
Americas,2019,6.41
Europe,2019,6.5
Western Pacific,2019,6.67
Africa,2019,6.69
Americas,2019,6.82
Americas,2019,6.85
Africa,2019,6.87
Europe,2019,6.88
Eastern Mediterranean,2019,7.06
Europe,2019,7.15
Eastern Mediterranean,2019,7.2
Western Pacific,2019,7.22
Europe,2019,7.22
Eastern Mediterranean,2019,7.29
Europe,2019,7.33
Africa,2019,7.37
Americas,2019,7.62
Europe,2019,7.63
Europe,2019,7.65
Americas,2019,7.65
Americas,2019,7.68
Africa,2019,7.73
Europe,2019,7.86
South-East Asia,2019,7.95
Africa,2019,7.96
Americas,2019,8.04
Americas,2019,8.14
Africa,2019,8.15
South-East Asia,2019,8.2
Europe,2019,8.25
Europe,2019,8.27
Americas,2019,8.28
Europe,2019,8.28
Europe,2019,8.28
Africa,2019,8.46
Europe,2019,8.62
Africa,2019,8.75
Europe,2019,8.9
Africa,2019,87.48
Africa,2019,9.18
Europe,2019,9.27
Europe,2019,9.3
Europe,2019,9.31
Africa,2019,9.45
Africa,2019,9.45
Europe,2019,9.48
Western Pacific,2019,9.51
Africa,2019,9.64
Europe,2019,9.65
Western Pacific,2019,9.65
Eastern Mediterranean,2019,9.77
South-East Asia,2019,9.77
Europe,2019,9.83
Europe,2019,9.91
Americas,2018,0.31
Americas,2018,0.32
Americas,2018,0.35
Americas,2018,1.03
Europe,2018,1.65
Eastern Mediterranean,2018,1.94
Europe,2018,10.05
Europe,2018,10.12
Africa,2018,10.13
Europe,2018,10.13
Americas,2018,10.17
Africa,2018,10.25
Europe,2018,10.4
Americas,2018,10.5
Western Pacific,2018,10.66
Africa,2018,10.79
Europe,2018,10.83
Africa,2018,11.03
Africa,2018,11.04
Europe,2018,11.1
Africa,2018,11.16
Europe,2018,11.19
Africa,2018,11.2
Western Pacific,2018,11.26
Americas,2018,11.37
Europe,2018,11.56
Africa,2018,11.63
Europe,2018,11.88
Eastern Mediterranean,2018,12.17
Africa,2018,12.24
Africa,2018,12.31
Africa,2018,12.35
Africa,2018,12.39
Europe,2018,12.58
Europe,2018,12.69
Europe,2018,12.79
South-East Asia,2018,12.88
Africa,2018,12.9
Africa,2018,12.97
South-East Asia,2018,13.24
Western Pacific,2018,13.37
Africa,2018,13.56
Africa,2018,13.57
Africa,2018,13.74
Africa,2018,14.06
Americas,2018,14.09
Europe,2018,14.29
