Period,Dim1,FactValueNumeric
2019,Female,1.67
2019,Both sexes,2.76
2019,Male,3.87
2018,Female,1.55
2018,Both sexes,2.53
2018,Male,3.52
2017,Female,1.72
2017,Both sexes,2.99
2017,Male,4.29
2016,Female,1.7
2016,Both sexes,2.78
2016,Male,3.86
2015,Female,1.73
2015,Both sexes,2.87
2015,Male,4.03
2014,Female,1.74
2014,Both sexes,2.84
2014,Male,3.93
2013,Female,1.79
2013,Both sexes,3.01
2013,Male,4.23
2012,Female,1.81
2012,Both sexes,2.99
2012,Male,4.16
2011,Female,1.86
2011,Both sexes,3.06
2011,Male,4.23
2010,Female,1.87
2010,Both sexes,3.04
2010,Male,4.17
2009,Female,1.9
2009,Both sexes,3.04
2009,Male,4.13
2008,Female,1.92
2008,Both sexes,3.01
2008,Male,4.06
2007,Female,1.98
2007,Both sexes,2.99
2007,Male,3.96
2006,Female,1.9
2006,Both sexes,2.67
2006,Male,3.4
2005,Female,2.04
2005,Both sexes,2.89
2005,Male,3.71
2004,Female,2.08
2004,Both sexes,2.88
2004,Male,3.66
2003,Female,2.15
2003,Both sexes,2.86
2003,Male,3.58
2002,Female,2.19
2002,Both sexes,2.88
2002,Male,3.59
2001,Female,2.27
2001,Both sexes,2.91
2001,Male,3.6
2000,Female,2.35
2000,Both sexes,2.99
2000,Male,3.69
