Region,Year,Gender,Average Suicide Rate
Africa,2000,Both sexes,17.838510638297873
Africa,2000,Female,8.764680851063828
Africa,2000,Male,28.432978723404258
Africa,2001,Both sexes,17.347872340425535
Africa,2001,Female,8.573617021276593
Africa,2001,Male,27.632765957446807
Africa,2002,Both sexes,17.164255319148936
Africa,2002,Female,8.478297872340425
Africa,2002,Male,27.373191489361698
Africa,2003,Both sexes,16.953617021276592
Africa,2003,Female,8.3931914893617
Africa,2003,Male,27.043404255319142
Africa,2004,Both sexes,16.83829787234043
Africa,2004,Female,8.303617021276597
Africa,2004,Male,26.937872340425535
Africa,2005,Both sexes,16.81617021276596
Africa,2005,Female,8.281489361702127
Africa,2005,Male,26.962340425531917
Africa,2006,Both sexes,17.066382978723404
Africa,2006,Female,8.49808510638298
Africa,2006,Male,27.22553191489362
Africa,2007,Both sexes,17.212340425531917
Africa,2007,Female,8.471702127659572
Africa,2007,Male,27.565319148936183
Africa,2008,Both sexes,17.462127659574467
Africa,2008,Female,8.537446808510637
Africa,2008,Male,27.9995744680851
Africa,2009,Both sexes,17.510212765957444
Africa,2009,Female,8.454680851063829
Africa,2009,Male,28.184893617021274
Africa,2010,Both sexes,17.33574468085106
Africa,2010,Female,8.19617021276596
Africa,2010,Male,28.09468085106382
Africa,2011,Both sexes,17.065106382978723
Africa,2011,Female,7.966808510638298
Africa,2011,Male,27.743617021276602
Africa,2012,Both sexes,17.039787234042556
Africa,2012,Female,7.859787234042551
Africa,2012,Male,27.7804255319149
Africa,2013,Both sexes,16.81978723404255
Africa,2013,Female,7.698085106382979
Africa,2013,Male,27.470638297872345
Africa,2014,Both sexes,16.549148936170216
Africa,2014,Female,7.578085106382978
Africa,2014,Male,26.994042553191495
Africa,2015,Both sexes,16.093617021276593
Africa,2015,Female,7.324255319148934
Africa,2015,Male,26.321276595744678
Africa,2016,Both sexes,15.561276595744685
Africa,2016,Female,6.959574468085107
Africa,2016,Male,25.557872340425533
Africa,2017,Both sexes,15.048297872340422
Africa,2017,Female,6.604255319148937
Africa,2017,Male,24.840212765957443
Africa,2018,Both sexes,14.648297872340422
Africa,2018,Female,6.389148936170212
Africa,2018,Male,24.233829787234043
Africa,2019,Both sexes,14.330425531914898
Africa,2019,Female,6.291489361702127
Africa,2019,Male,23.663191489361704
Americas,2000,Both sexes,8.65030303030303
Americas,2000,Female,3.622121212121211
Americas,2000,Male,14.04393939393939
Americas,2001,Both sexes,8.646666666666667
Americas,2001,Female,3.7112121212121214
Americas,2001,Male,13.94030303030303
Americas,2002,Both sexes,8.724545454545453
Americas,2002,Female,3.713939393939395
Americas,2002,Male,14.083333333333336
Americas,2003,Both sexes,8.555151515151515
Americas,2003,Female,3.6593939393939396
Americas,2003,Male,13.810909090909092
Americas,2004,Both sexes,8.557272727272725
Americas,2004,Female,3.624242424242425
Americas,2004,Male,13.84060606060606
Americas,2005,Both sexes,8.444848484848487
Americas,2005,Female,3.585757575757576
Americas,2005,Male,13.67515151515151
Americas,2006,Both sexes,8.253333333333336
Americas,2006,Female,3.492121212121212
Americas,2006,Male,13.357575757575757
Americas,2007,Both sexes,8.104242424242424
Americas,2007,Female,3.455757575757575
Americas,2007,Male,13.068484848484847
Americas,2008,Both sexes,7.958787878787882
Americas,2008,Female,3.466666666666667
Americas,2008,Male,12.758484848484851
Americas,2009,Both sexes,7.986060606060606
